Distance A,Distance B,Distance C,Position X,Position Y,Date,Time
0.8774627140346202,0.7686088525380292,1.457214664618664,122,180,Feb 09, 2017 12:20:22.583
1.2016084709803456,1.0312282926172387,1.893498032241243,122,180,Feb 09, 2017 12:20:23.683
1.6143441763841142,1.0988726813983196,2.1125604082213227,122,180,Feb 09, 2017 12:20:24.812
1.533095112687557,1.1231572126394687,2.233097793619956,122,180,Feb 09, 2017 12:20:25.915
1.4819303361525307,1.1149622112724376,2.317804088953249,122,180,Feb 09, 2017 12:20:27.031
1.5136335836287595,1.1356404205596924,2.2962927653448784,122,180,Feb 09, 2017 12:20:28.154
1.5174992801866867,1.1483556181543202,2.3881717146433523,122,180,Feb 09, 2017 12:20:29.435
1.533095112687557,1.156963063481515,2.428796963027942,122,180,Feb 09, 2017 12:20:30.560
1.4890969284295625,1.1631759299256887,2.4982141917239513,122,180,Feb 09, 2017 12:20:31.664
1.533095112687557,1.174496327372315,0.0,122,180,Feb 09, 2017 12:20:32.782
1.5219334662924484,1.1783093268745546,2.569815396171042,122,180,Feb 09, 2017 12:20:33.900
1.533095112687557,1.174496327372315,0.0,122,180,Feb 09, 2017 12:20:35.018
1.541852079295551,1.171544370974897,0.0,122,180,Feb 09, 2017 12:20:36.135
1.5097811160342745,1.174496327372315,2.6223276914796863,122,180,Feb 09, 2017 12:20:37.255
1.477394195129488,1.1720802001534711,2.7005443784015,122,180,Feb 09, 2017 12:20:38.371
1.488198532631896,1.174496327372315,2.72840290991771,122,180,Feb 09, 2017 12:20:39.488
1.4628678954598402,1.1765470121326684,2.7043834260547195,122,180,Feb 09, 2017 12:20:40.603
1.4915886379262722,1.193161027593476,2.7043834260547195,122,180,Feb 09, 2017 12:20:41.715
1.4730379718883748,1.205562666315784,2.7353075789754104,122,180,Feb 09, 2017 12:20:42.837
1.451992096143464,1.2016084709803456,2.6988012936139514,122,180,Feb 09, 2017 12:20:43.958
1.4239205431401918,1.2275230831408996,2.6988012936139514,122,180,Feb 09, 2017 12:20:45.068
1.4467952841798106,1.2275230831408996,2.684900101123379,122,180,Feb 09, 2017 12:20:46.185
1.4416241229721405,1.2408078081101461,2.6586998292358333,122,180,Feb 09, 2017 12:20:47.311
1.4076695377418704,1.2543148718367432,2.6165428774694393,122,180,Feb 09, 2017 12:20:48.419
1.4061354048224222,1.2588671675713539,2.576434848786933,122,180,Feb 09, 2017 12:20:49.533
1.3962206774243466,1.2716816050000816,2.563214462046675,122,180,Feb 09, 2017 12:20:50.660
1.4011656838943594,1.2588671675713539,2.460083091874785,122,180,Feb 09, 2017 12:20:51.772
1.3913002830862673,1.272675490593039,2.428796963027942,122,180,Feb 09, 2017 12:20:52.880
1.3815329231921947,1.2803342810385239,2.3615080083441047,122,180,Feb 09, 2017 12:20:54.020
1.365592198392806,1.2846938148274267,2.3615080083441047,122,180,Feb 09, 2017 12:20:55.151
1.4023103452462031,1.2890756045112837,2.3012369226238754,122,180,Feb 09, 2017 12:20:56.279
1.3913002830862673,1.2979063296211302,2.2871424547051658,122,180,Feb 09, 2017 12:20:57.384
1.3962206774243466,1.3113217077581207,2.2509504218752983,122,180,Feb 09, 2017 12:20:58.516
1.3766857546722129,1.3154907284091308,2.233097793619956,122,180,Feb 09, 2017 12:20:59.632
1.3913002830862673,1.3009840868064892,2.2242317953030275,122,180,Feb 09, 2017 12:21:00.739
1.3962206774243466,1.2934797445245523,2.2045977526912974,122,180,Feb 09, 2017 12:21:01.886
1.4349003637252158,1.2716816050000816,2.1858281045036008,122,180,Feb 09, 2017 12:21:03.020
1.4313583315353864,1.2846938148274267,2.1804989450090853,122,180,Feb 09, 2017 12:21:04.154
1.4467952841798106,1.2846938148274267,2.189166395000349,122,180,Feb 09, 2017 12:21:05.262
1.3203792702020871,1.0529349543637552,0.0,79,180,Feb 09, 2017 12:21:31.166
1.3203792702020871,1.0754742835763245,1.457214664618664,79,180,Feb 09, 2017 12:21:32.281
1.3203792702020871,1.0529349543637552,1.6143441763841142,79,180,Feb 09, 2017 12:21:33.402
1.3203792702020871,1.0529349543637552,1.457214664618664,79,180,Feb 09, 2017 12:21:34.514
1.3203792702020871,1.0678670390688851,1.6143441763841142,79,180,Feb 09, 2017 12:21:35.625
1.2441636097841666,1.0529349543637552,1.5595664891083256,79,180,Feb 09, 2017 12:21:36.736
1.2016084709803456,1.0441538260143564,1.5528921125930093,79,180,Feb 09, 2017 12:21:37.856
1.174496327372315,1.0529349543637552,1.533095112687557,79,180,Feb 09, 2017 12:21:38.978
1.1557269780932444,1.0466492231253528,1.5730293799171013,79,180,Feb 09, 2017 12:21:40.087
1.1314537499253463,1.0529349543637552,1.6143441763841142,79,180,Feb 09, 2017 12:21:41.202
1.1483556181543202,1.0466492231253528,1.6426737904626523,79,180,Feb 09, 2017 12:21:42.315
1.1356404205596924,1.0529349543637552,1.6633022063422769,79,180,Feb 09, 2017 12:21:43.429
1.125911391902544,1.0480402095426746,1.6570789742519945,79,180,Feb 09, 2017 12:21:44.544
1.1432414725141393,1.0529349543637552,1.6619166843040727,79,180,Feb 09, 2017 12:21:45.658
1.1437048434580483,1.0529349543637552,1.674579505682803,79,180,Feb 09, 2017 12:21:46.817
1.1314537499253463,1.0566329802376897,1.6931281851442606,79,180,Feb 09, 2017 12:21:47.896
1.1366102310637847,1.0632326711963311,1.716337497618202,79,180,Feb 09, 2017 12:21:49.017
1.1302622743393371,1.07220240626554,1.7362900597259543,79,180,Feb 09, 2017 12:21:50.136
1.1099691518660777,1.0689479820698553,1.8016191775095909,79,180,Feb 09, 2017 12:21:51.251
1.1022870074421447,1.0820707089864785,1.8359650734411996,79,180,Feb 09, 2017 12:21:52.380
1.0887378839553175,1.0887378839553175,1.8716702569068298,79,180,Feb 09, 2017 12:21:53.503
1.0787636917939287,1.0843705389203548,1.9380807530260575,79,180,Feb 09, 2017 12:21:54.622
1.0853954134992314,1.1022870074421447,1.976194593949729,79,180,Feb 09, 2017 12:21:55.736
1.0988726813983196,1.1126392865966426,2.0310569497199253,79,180,Feb 09, 2017 12:21:56.856
1.1212570842687926,1.1196326968195716,2.0713415178632872,79,180,Feb 09, 2017 12:21:57.973
1.1366102310637847,1.1196326968195716,2.1125604082213227,79,180,Feb 09, 2017 12:21:59.085
1.1338429845373716,1.1302622743393371,2.1125604082213227,79,180,Feb 09, 2017 12:22:00.198
1.1338429845373716,1.1302622743393371,2.129313587656597,79,180,Feb 09, 2017 12:22:01.313
1.1231572126394687,1.1444183267509171,2.1547315772877953,79,180,Feb 09, 2017 12:22:02.432
1.137442590992812,1.1683787061795652,2.1462202900751377,79,180,Feb 09, 2017 12:22:03.547
1.137442590992812,1.170703151872082,2.1804989450090853,79,180,Feb 09, 2017 12:22:04.662
1.1327392187743508,1.1976747087024235,2.2140515034559933,79,180,Feb 09, 2017 12:22:05.790
1.1483556181543202,1.2215855470510055,2.26201702454488,79,180,Feb 09, 2017 12:22:06.911
1.144698824486121,1.2256432369523877,2.2871424547051658,79,180,Feb 09, 2017 12:22:08.025
1.137442590992812,1.2256432369523877,2.2871424547051658,79,180,Feb 09, 2017 12:22:09.153
1.144698824486121,1.236355013606438,2.2420039520735173,79,180,Feb 09, 2017 12:22:10.260
1.137442590992812,1.2275230831408996,2.189166395000349,79,180,Feb 09, 2017 12:22:11.374
1.144698824486121,1.2504328437903864,2.1978732558436738,79,180,Feb 09, 2017 12:22:12.489
1.1483556181543202,1.2546392038156302,2.2242317953030275,79,180,Feb 09, 2017 12:22:13.639
1.152031641342096,1.2631168272784292,2.2509504218752983,79,180,Feb 09, 2017 12:22:14.762
1.152031641342096,1.2379424685795324,2.233097793619956,79,180,Feb 09, 2017 12:22:15.899
1.137442590992812,1.2820083969741503,2.1978732558436738,79,180,Feb 09, 2017 12:22:16.999
1.1302622743393371,1.2716816050000816,2.1547315772877953,79,180,Feb 09, 2017 12:22:18.106
1.1231572126394687,1.3023554548751504,2.120917880322362,79,180,Feb 09, 2017 12:22:19.236
1.1250627482127118,1.3023554548751504,2.1765118347769397,79,180,Feb 09, 2017 12:22:20.387
1.1327392187743508,1.3295289144113513,2.215405806364047,79,180,Feb 09, 2017 12:22:21.507
1.137442590992812,1.3387714177919214,2.1804989450090853,79,180,Feb 09, 2017 12:22:22.651
0.0,1.3302365694922482,2.233097793619956,79,180,Feb 09, 2017 12:22:23.753
1.137442590992812,1.3009840868064892,2.2420039520735173,79,180,Feb 09, 2017 12:22:24.873
1.137442590992812,1.3106287640454894,0.0,79,180,Feb 09, 2017 12:22:26.145
1.1250627482127118,1.286713408062131,2.195190015191665,79,180,Feb 09, 2017 12:22:27.266
1.1327392187743508,1.2962011346174398,2.0740601789118167,79,180,Feb 09, 2017 12:22:28.408
1.2588671675713539,1.2016084709803456,0.0,165,180,Feb 09, 2017 12:22:43.186
1.2016084709803456,1.0529349543637552,2.1125604082213227,165,180,Feb 09, 2017 12:22:44.303
1.2588671675713539,1.0103285486319797,2.233097793619956,165,180,Feb 09, 2017 12:22:45.416
1.3864043988923234,1.0988726813983196,2.1125604082213227,165,180,Feb 09, 2017 12:22:46.530
1.3418730227424587,1.1314537499253463,2.233097793619956,165,180,Feb 09, 2017 12:22:47.653
1.3203792702020871,1.1483556181543202,1.9633916800584117,165,180,Feb 09, 2017 12:22:48.771
1.3203792702020871,1.1483556181543202,1.7942116184337868,165,180,Feb 09, 2017 12:22:49.881
1.3418730227424587,1.1656762736003436,1.893498032241243,165,180,Feb 09, 2017 12:22:50.996
1.367063935596236,1.170703151872082,1.7942116184337868,165,180,Feb 09, 2017 12:22:52.117
1.3750754159651848,1.1924613251880054,1.7536241033507878,165,180,Feb 09, 2017 12:22:53.238
1.3575381378563383,1.1937612915718436,1.8265843557616952,165,180,Feb 09, 2017 12:22:54.354
1.3528109972564129,1.1879291214668455,1.7536241033507878,165,180,Feb 09, 2017 12:22:55.465
1.3713283974875652,1.1894368053625417,1.7125559323726984,165,180,Feb 09, 2017 12:22:56.578
1.3661070480786703,1.1852229575156685,1.6619166843040727,165,180,Feb 09, 2017 12:22:57.693
1.367934666557589,1.1817929651579067,1.648416489940608,165,180,Feb 09, 2017 12:22:58.807
1.3750754159651848,1.1656762736003436,1.6374754759289465,165,180,Feb 09, 2017 12:22:59.924
1.375942187441235,1.1724513903944225,1.6284293561834253,165,180,Feb 09, 2017 12:23:01.039
1.3815329231921947,1.152031641342096,1.60148253858689,165,180,Feb 09, 2017 12:23:02.170
1.4011656838943594,1.1302622743393371,1.5636926669322595,165,180,Feb 09, 2017 12:23:03.272
1.4262634915255332,1.152031641342096,1.538716957911095,165,180,Feb 09, 2017 12:23:04.390
1.4011656838943594,1.144698824486121,1.4730379718883748,165,180,Feb 09, 2017 12:23:05.505
1.3815329231921947,1.1483556181543202,1.4890969284295625,165,180,Feb 09, 2017 12:23:06.620
1.4061354048224222,1.1444183267509171,1.4313583315353864,165,180,Feb 09, 2017 12:23:07.733
1.4262634915255332,1.140503232453462,1.457214664618664,165,180,Feb 09, 2017 12:23:08.856
1.4467952841798106,1.1338429845373716,1.4783646309302814,165,180,Feb 09, 2017 12:23:09.979
1.4364785071116346,1.1091702295939592,1.4293957851020274,165,180,Feb 09, 2017 12:23:11.087
1.4416241229721405,1.1161267486194506,1.451992096143464,165,180,Feb 09, 2017 12:23:12.214
1.451992096143464,1.1022870074421447,1.4262634915255332,165,180,Feb 09, 2017 12:23:13.326
1.4467952841798106,1.0737103300527657,1.416149401053774,165,180,Feb 09, 2017 12:23:14.471
1.4783646309302814,1.0807966904083823,1.4011656838943594,165,180,Feb 09, 2017 12:23:15.591
1.4945027829476671,1.0689479820698553,1.3864043988923234,165,180,Feb 09, 2017 12:23:16.758
1.5636926669322595,1.0497836306190365,1.3811592023874462,165,180,Feb 09, 2017 12:23:17.906
1.533095112687557,1.0435316562759767,1.3502754393577723,165,180,Feb 09, 2017 12:23:19.000
1.5452378767137296,1.0754742835763245,0.0,165,180,Feb 09, 2017 12:23:20.118
1.5905643956127185,1.0529349543637552,1.365592198392806,165,180,Feb 09, 2017 12:23:21.234
1.6143441763841142,1.0807966904083823,1.365592198392806,165,180,Feb 09, 2017 12:23:22.366
1.6385876146752012,1.0952159358574725,1.3352055697919916,165,180,Feb 09, 2017 12:23:23.491
1.6633022063422769,1.0820707089864785,1.3707532279830907,165,180,Feb 09, 2017 12:23:24.607
1.7151728192535358,1.0820707089864785,1.3473259550908763,165,180,Feb 09, 2017 12:23:25.723
1.7722136684956125,1.07220240626554,1.3352055697919916,165,180,Feb 09, 2017 12:23:26.851
1.7206721750836553,1.0529349543637552,1.3604589734993713,165,180,Feb 09, 2017 12:23:27.966
0.0,1.0632326711963311,1.3604589734993713,165,180,Feb 09, 2017 12:23:29.076
1.7221758497178181,1.0843705389203548,1.3553534285797684,165,180,Feb 09, 2017 12:23:30.240
1.7703956309041937,1.0495419227385692,1.3638780401859354,165,180,Feb 09, 2017 12:23:31.359
1.6570789742519945,1.0435316562759767,1.4153110897443564,165,180,Feb 09, 2017 12:23:32.483
1.6078966261458036,1.062491183234517,1.4271108765465348,165,180,Feb 09, 2017 12:23:33.625
1.5866456556173298,1.0597802332887882,1.4076695377418704,165,180,Feb 09, 2017 12:23:34.754
1.5951017691105076,1.0561032702368212,1.4184745076610816,165,180,Feb 09, 2017 12:23:35.873
1.5730293799171013,1.07220240626554,1.4800088871599035,165,180,Feb 09, 2017 12:23:37.006
1.533095112687557,1.102550399209396,1.451591428294611,165,180,Feb 09, 2017 12:23:38.127
1.5935117657943885,1.0887378839553175,1.4857834304979614,165,180,Feb 09, 2017 12:23:39.271
1.5136335836287595,1.0754742835763245,1.4349003637252158,165,180,Feb 09, 2017 12:23:40.402
1.5452378767137296,1.0879649636348754,1.4111299428738049,165,180,Feb 09, 2017 12:23:41.500
1.5391505450277985,1.0632326711963311,1.451992096143464,165,180,Feb 09, 2017 12:23:42.624
1.4742648730526573,1.091580063004547,1.4837175804926783,165,180,Feb 09, 2017 12:23:43.740
1.4390481284480203,1.1099691518660777,1.4837175804926783,165,180,Feb 09, 2017 12:23:44.874
0.97085,1.457214664618664,1.533095112687557,122,137,Feb 09, 2017 12:24:24.042
1.0103285486319797,1.3203792702020871,1.457214664618664,122,137,Feb 09, 2017 12:24:25.157
1.0529349543637552,1.457214664618664,1.533095112687557,122,137,Feb 09, 2017 12:24:26.283
1.0529349543637552,1.457214664618664,1.457214664618664,122,137,Feb 09, 2017 12:24:27.396
1.0678670390688851,1.3638780401859354,1.4094623330471858,122,137,Feb 09, 2017 12:24:28.504
1.0754742835763245,1.3864043988923234,1.403647448642514,122,137,Feb 09, 2017 12:24:29.617
1.0529349543637552,1.3077242925268722,1.4001747087230278,122,137,Feb 09, 2017 12:24:30.734
1.0383729306842615,1.309821012114322,1.3864043988923234,122,137,Feb 09, 2017 12:24:32.022
1.0342792475701121,1.3387714177919214,1.416149401053774,122,137,Feb 09, 2017 12:24:33.140
1.045608166718744,1.309821012114322,1.3864043988923234,122,137,Feb 09, 2017 12:24:34.258
1.0466492231253528,1.3387714177919214,1.367063935596236,122,137,Feb 09, 2017 12:24:35.395
1.0365783146848377,1.328380146642308,1.3949882754421323,122,137,Feb 09, 2017 12:24:36.513
1.0480402095426746,1.292499110386374,1.4172682308092344,122,137,Feb 09, 2017 12:24:37.629
1.0529349543637552,1.2588671675713539,1.442656308217805,122,137,Feb 09, 2017 12:24:38.747
1.0449466492508255,1.297502982813616,1.4308941189083475,122,137,Feb 09, 2017 12:24:39.877
1.0529349543637552,1.3045884998596349,1.4153110897443564,122,137,Feb 09, 2017 12:24:40.988
1.0563476928402076,1.286713408062131,1.4404344096509232,122,137,Feb 09, 2017 12:24:42.121
